i,fval,d1,d2,d3,d4,lam,p11,p1,p2
801,3.75,-0.5786745652750006,0.017164913774903597,-0.03270906075110592,-0.25346012370204146,525.1073218090062,1376.3049903461758 - 49.552472381506355im,1389.407472453887 + 0.0im,1470.4307297089752 - 30.195815940630617im
802,2.84,-0.40948348475096163,0.06347918470874639,0.07469228105099421,-0.44976207461515516,525.3088203490972,1376.0640152652513 - 62.21612840175321im,1383.2782956894894 + 0.0im,1454.1825272029625 - 34.23552361045044im
803,2.72,-0.4532323694835414,0.06566270611696076,-0.04096552142772338,-0.3109467888044567,549.8528884284443,1369.3024211039449 - 66.48523174452916im,1366.2731783595768 + 0.0im,1441.9386579414722 - 20.692203720463763im
804,3.72,-0.24516072641392594,0.08008338280541555,0.06778466480224507,-0.5579486704000386,581.1239564729995,1367.957021565489 - 66.66803724061248im,1382.5448155438833 + 0.0im,1432.4418430090043 - 26.332683454524574im
807,3.76,-0.5328016780473656,0.016935035091162762,-0.0002997245531517062,-0.28668632066891236,515.6887336682339,1376.0580286686984 - 49.423317970689425im,1389.1388494930409 + 0.0im,1469.342993768268 - 28.354822798830757im
810,2.81,-0.4003404440306323,0.04926936985135508,-0.04806138331683671,-0.3630835942711096,564.764182711506,1367.2393859061697 - 65.79521590936285im,1368.4569056486166 + 0.0im,1445.031833144676 - 19.59617352329889im
811,2.67,-0.8824307486962542,0.03741822426274035,-0.23847066406225076,0.10239101635856113,573.5971954291917,1374.9017152790047 - 44.962256402529974im,1393.9372133546049 + 0.0im,1447.7357700395664 - 31.7420716515595im
813,2.93,-0.2854774180810421,0.06722807828510657,0.09464140035927543,-0.5111712679809666,559.3929860735406,1374.83311110577 - 55.215541939248105im,1392.4405303280128 + 0.0im,1440.7154836991992 - 32.72626636516919im
814,4.1,-0.4546451972694382,0.013192435549318315,0.01644937852591264,-0.41611310192714446,538.2959109018891,1375.827051680155 - 52.78362190818567im,1388.6048261711999 + 0.0im,1479.4091396095203 - 34.06168297328211im
816,3.86,-0.32291275761070715,0.026524675127795015,0.05412093549858633,-0.5448843310409328,542.4006966650641,1372.1663363855841 - 64.51246103207262im,1376.6189932583488 + 0.0im,1468.3761855077887 - 29.604621004995423im
818,2.86,-0.6060327507634031,0.04633979505258154,-0.08446640300320064,-0.18338208126717317,533.997083828235,1373.6108547655087 - 60.22069491884902im,1379.6302330203378 + 0.0im,1452.0279002326217 - 24.956911516416643im
820,3.13,-0.438708702799809,0.029578533172219593,0.011015770315389285,-0.40547273097399666,547.1880100256689,1375.036314358783 - 55.01223797298763im,1388.1188942306555 + 0.0im,1463.514679812711 - 33.242010042682104im
821,3.22,-0.2464807685928172,0.01611744312280973,0.05703739141759618,-0.5640950777009768,556.4545745398666,1370.602040719893 - 59.09344270277437im,1383.523247237229 + 0.0im,1462.5979640856735 - 25.390491856266298im
822,3.11,-0.4575780452967584,0.04024022905040742,-0.08418364381400095,-0.23164480113695252,565.1528834343198,1369.0415001031836 - 55.27636059843344im,1384.775823292854 + 0.0im,1440.4176332915051 - 18.221574318704107im
826,2.77,-0.5338564390625574,0.05985204622490863,-0.059804650911055315,-0.22692939123742867,558.2241936137392,1373.3231432624577 - 55.34312667620868im,1388.8040483923864 + 0.0im,1440.5156231603612 - 26.490143787933157im
827,3.41,-0.3357625223605553,0.03829752328966746,0.010181190968109669,-0.41594892040099596,587.5577443533173,1372.3772361917888 - 46.25136050990655im,1394.5393654734753 + 0.0im,1441.5647237491485 - 29.14188234141409im
828,2.76,-0.45807036271500595,0.05824228528372693,0.030146014936299752,-0.35692373458411075,557.9965006433193,1378.2108391995528 - 45.826217773570846im,1395.2237844408332 + 0.0im,1446.8004277567422 - 38.04498359602303im
830,2.67,-0.6032060710345296,0.06286329645947904,-0.06863762214366437,-0.15722546914117225,546.481681377581,1375.3076436759548 - 52.46534976919123im,1390.5752268059919 + 0.0im,1441.7123127281507 - 27.94113033267194im
835,2.71,-0.5875267412065864,0.05328448264518461,-0.11163463383361993,-0.18812579808953933,570.8765606905171,1371.4692103131529 - 57.93191832250295im,1385.9691272081568 + 0.0im,1442.0171046550497 - 25.760459669708275im
836,3.48,-0.5446779617366121,0.0613591185156418,-0.0537338590135812,-0.22259988028564998,576.8943344540581,1375.9716758187856 - 45.595228142463625im,1395.659368647754 + 0.0im,1436.6773452046093 - 32.71839061195645im
837,2.62,-0.22664814511336978,0.05674609131144107,0.1385673217071592,-0.6145379852086912,553.3188670615963,1375.3600909874851 - 56.67918665669966im,1391.527129396191 + 0.0im,1450.3870734391865 - 37.21369836652654im
838,3.19,-0.4703365878259627,0.04848652935813894,0.03876243563342013,-0.3771484167091383,518.5434926938909,1376.1023676367697 - 59.60056103910859im,1383.0194633683293 + 0.0im,1459.7962589299916 - 31.667668716785084im
839,3.49,-0.48446347205288603,0.06531940556776955,0.006050251604892233,-0.3230021518131529,576.5399360023192,1379.1840422910368 - 42.38572127980399im,1396.7730351222726 + 0.0im,1439.655045901258 - 39.78922659336307im
840,2.92,-0.35123456974630896,0.02648705953815869,0.05568641482771553,-0.4643354323003754,544.2162631599285,1374.604002303535 - 51.71040858389626im,1390.295950216848 + 0.0im,1461.309519393333 - 31.235277883202087im
842,3.04,-1.0547771303727855,0.016833656254416803,-0.31382088219924925,0.2709492884246158,581.677667510807,1375.0443451282788 - 30.25899514956152im,1396.8690019265707 - 1.7927623276408798e-7im,1456.5538324026616 - 36.48107625897095im
844,2.8,-0.3578743199687563,0.014984707767667051,0.03342973768381135,-0.37993199529360433,544.2926909651312,1373.420774681603 - 43.29308807208133im,1393.1764404242986 + 0.0im,1455.5662131580307 - 25.933960336420434im
845,3.21,-0.5102906440333624,0.06014787717196393,-0.0497636679859034,-0.2575135087922308,575.045822145202,1374.1379273913344 - 50.86826089982507im,1393.3876243802533 + 0.0im,1437.4383998257592 - 30.042624165660456im
847,2.94,-0.14734013880526725,0.06040932416880982,0.14240022493998997,-0.6837375670926049,573.4783386637775,1372.0338348106434 - 60.9352344774984im,1390.1223834587843 + 0.0im,1443.590511042422 - 34.45696091822195im
849,2.89,-0.4224496935896733,0.06874197371902686,-0.020668547880948962,-0.3885709822439548,575.1242289429813,1369.829670558134 - 64.80547935410499im,1381.302856397639 + 0.0im,1438.7204724728879 - 27.180516766178435im
854,3.58,-0.7383672829857781,0.05733419999998375,-0.1488099696830615,-0.04204357446882445,589.5348833215967,1377.2701032681787 - 38.4801988607805im,1397.0313116267102 + 0.0im,1437.1185843591898 - 36.85227670755147im
856,2.72,-0.28420944431177575,0.050219125015188076,0.11817550910742383,-0.5264940401711329,545.1426395829369,1376.206876456307 - 49.82457350521318im,1393.435733248887 - 1.7645149953935274e-7im,1451.5927404039871 - 35.07288005120147im
857,2.76,-0.6581379349893622,0.04647276188530528,-0.15547618981329786,-0.16376080591065822,579.5312131101006,1370.5371606210936 - 61.473141042550914im,1381.887612946555 + 0.0im,1447.9782450591777 - 28.078427909530077im
858,2.78,-0.3088831953759577,0.05442716363676662,0.07551054240490307,-0.5093180067104216,567.9738458559781,1375.419711534731 - 52.68638536712623im,1393.330085253817 + 0.0im,1446.1322040807906 - 35.9201270090553im
861,3.34,-0.8836072444236494,0.012241005328530806,-0.23126197398426052,0.12264730428502141,538.2554685873733,1374.6160113683532 - 46.666858611088934im,1390.2723385411725 + 0.0im,1459.9063755512743 - 24.944398206507532im
862,3.96,-0.3980397958086251,0.021112457794943085,0.052113758675754525,-0.4456706825288126,521.5445745740573,1374.8740116887889 - 56.83415342416619im,1384.5690636179222 + 0.0im,1470.1112920723149 - 28.792757199244004im
863,3.3,-0.2866730907007129,0.06975487502542121,0.047852926749897114,-0.5295363214577065,583.8617276610943,1369.5133121657639 - 64.02670328287155im,1385.8790224038928 + 0.0im,1436.557277786641 - 29.35125641317251im
864,2.72,-0.4410417753717548,0.04932895718106416,-0.025751870220506526,-0.2804918156653327,542.2432104267136,1371.8041113116017 - 56.616711423771136im,1384.5355917516379 + 0.0im,1443.88877386823 - 21.453722520568554im
866,2.8,-0.39282007863118135,0.014986863192784809,0.012134476911888306,-0.38778290322898856,578.224961389194,1374.5734824117635 - 34.730710559142906im,1396.411423807091 + 0.0im,1457.1682957862226 - 34.671557473811525im
867,3.0,-0.33582070982056234,0.0657537481099264,0.0004988340082186515,-0.43902987167977225,571.3280456370001,1367.2921740218658 - 66.29069496890656im,1374.0900859378307 + 0.0im,1438.657385082651 - 21.671650210230737im
869,3.6,-0.18673364603295345,0.066378130345826,0.1127210173917077,-0.6158855150316623,581.0695227208663,1371.9148540564333 - 58.6611390917164im,1391.9634176718316 - 1.1769542294101577e-7im,1436.899125575081 - 32.17031459092421im
871,2.93,-0.33342458960147936,0.0497374909291599,0.04557374557848525,-0.4788565521101593,576.5473005554622,1374.4491240107827 - 52.38847555213688im,1393.1792964554604 + 0.0im,1445.7103380267085 - 34.8197780706721im
